symbol,entry_date,exit_date,direction,shares,entry_price,exit_price,pnl_dollars,pnl_pct,bars_held,fees
SWKS,2015-01-02,2015-03-02,Long,554.0,58.867987771593,71.015390348175,6729.661027426429,20.63%,59,0
SWKS,2015-01-02,2015-05-01,Long,115.0,58.867987771593,74.657205237825,1815.7600086166794,26.82%,119,0
SWKS,2015-02-02,2015-05-01,Long,144.0,67.239532174815,74.657205237825,1068.14492107344,11.03%,88,0
SWKS,2015-04-01,2015-05-01,Long,117.0,79.704580022067,74.657205237825,-590.5428497563151,-6.33%,30,0
SWKS,2016-11-01,2016-11-04,Long,71.0,63.667678508434,61.665803505963,-142.13312517544122,-3.14%,3,0
SWKS,2017-03-01,2017-05-01,Long,156.0,78.990734897074,82.932122858004,614.8565219050802,4.99%,61,0
SWKS,2017-04-03,2017-05-01,Long,41.0,81.631813154892,82.932122858004,53.31269782759226,1.59%,28,0
SWKS,2019-12-02,2020-02-03,Long,113.0,85.28108830241,98.40870602676,1483.4208028515504,15.39%,63,0
SWKS,2020-01-02,2020-02-03,Long,55.0,105.342107718848,98.40870602676,-381.33709306483985,-6.58%,32,0
SWKS,2020-07-01,2020-08-03,Long,172.0,112.295857229556,127.603374762132,2632.893015603072,13.63%,33,0
SWKS,2023-03-01,2023-04-03,Long,142.0,102.13681630152,107.78906032272,802.6186510104008,5.53%,33,0
SWKS,2024-08-01,2024-08-05,Long,1376.0,107.57744661664,98.9337656016,-11893.705076695043,-8.03%,4,0
EA,2015-01-02,2015-02-02,Long,233.0,45.762967023774,53.286692349618,1753.0280009216515,16.44%,31,0
EA,2015-01-02,2015-04-01,Long,345.0,45.762967023774,57.133125118566,3922.704542703239,24.85%,89,0
EA,2015-03-02,2015-04-01,Long,35.0,55.651349519766,57.133125118566,51.86214595799996,2.66%,30,0
EA,2015-08-03,2015-08-21,Long,216.0,69.637181849235,65.768172420573,-835.7060365909944,-5.56%,18,0
EA,2023-12-01,2024-01-02,Long,44.0,136.776669963934,135.316489912146,-64.24792227867204,-1.07%,32,0
LOW,2015-01-02,2015-03-02,Long,227.0,56.451066672,60.872925644496,1003.7619867565913,7.83%,59,0
LOW,2015-02-02,2015-03-02,Long,26.0,55.791133886488,60.872925644496,132.12658570820804,9.11%,28,0
LOW,2018-02-01,2018-02-20,Long,125.0,90.801490141362,83.334467728386,-933.3778016219991,-8.22%,19,0
LOW,2020-07-01,2020-08-03,Long,200.0,122.47236149148,135.217999375272,2549.1275767584,10.41%,33,0
LOW,2024-10-01,2024-11-01,Long,254.0,264.67408420453,256.431860472978,-2093.5248278142158,-3.11%,31,0
TTWO,2015-01-02,2015-02-02,Long,385.0,28.05803,29.69028,628.416250000001,5.82%,31,0
TTWO,2015-08-03,2015-08-21,Long,439.0,31.61158,29.35062,-992.5614400000003,-7.15%,18,0
TTWO,2017-09-01,2017-11-01,Long,137.0,97.88779,110.53935,1733.2637200000004,12.92%,61,0
TTWO,2017-10-02,2017-11-01,Long,254.0,102.33223,110.53935,2084.608480000001,8.02%,30,0
TTWO,2019-06-03,2019-08-01,Long,162.0,108.25815,122.39748,2290.57146,13.06%,59,0
TTWO,2019-06-03,2019-09-03,Long,164.0,108.25815,131.83803,3867.1003200000005,21.78%,92,0
TTWO,2019-06-03,2019-10-01,Long,58.0,108.25815,125.21466,983.4775799999996,15.66%,120,0
TTWO,2019-07-01,2019-10-01,Long,74.0,113.64353,125.21466,856.2636199999997,10.18%,92,0
TTWO,2020-09-01,2020-09-08,Long,10.0,171.36119,161.54829,-98.12899999999985,-5.73%,7,0
AVGO,2015-01-02,2015-01-07,Long,1336.0,7.7127974965041,7.3652801347125,-464.2831953535777,-4.51%,5,0
AVGO,2015-02-02,2015-03-02,Long,2401.0,7.8883845952912,9.7657875406962,4507.644471917406,23.80%,28,0
AVGO,2015-04-01,2015-04-20,Long,1917.0,9.7650089913376,9.351779731128,-792.1604918218047,-4.23%,19,0
AVGO,2017-04-03,2017-04-13,Long,927.0,17.3290578957496,16.523546205708,-746.7093366685615,-4.65%,10,0
AVGO,2019-02-01,2019-03-01,Long,991.0,22.246817567975,22.790844949392,539.1311349842462,2.45%,28,0
AVGO,2023-07-03,2023-08-01,Long,732.0,84.0620102099778,86.913516661821,2087.3027227492275,3.39%,29,0
AVGO,2023-12-01,2024-01-02,Long,30.0,90.2004278277102,109.04594085405,565.365390790194,20.89%,32,0
AVGO,2024-02-01,2024-03-01,Long,1013.0,115.5044266376,127.044260355013,11689.851555739358,9.99%,29,0
AVGO,2024-02-01,2024-04-01,Long,229.0,115.5044266376,130.030098536904,3326.378864940616,12.58%,60,0
DLTR,2015-02-02,2015-03-02,Long,48.0,71.1711,79.60032,404.60256000000004,11.84%,28,0
DLTR,2016-01-04,2016-02-05,Long,94.0,77.29722,76.59333,-66.16566000000012,-0.91%,32,0
DLTR,2016-02-01,2016-02-05,Long,714.0,81.40132,76.59333,-3432.904860000003,-5.91%,4,0
DLTR,2016-03-01,2016-03-04,Long,11.0,80.33025,77.37255,-32.53470000000003,-3.68%,3,0
DLTR,2017-10-02,2017-11-01,Long,43.0,86.90682,91.15875,182.83299000000005,4.89%,30,0
DLTR,2017-10-02,2017-12-01,Long,98.0,86.90682,102.65724,1543.5411600000004,18.12%,60,0
DLTR,2019-02-01,2019-03-01,Long,108.0,96.92683,96.23367,-74.86127999999911,-0.72%,28,0
DLTR,2021-12-01,2022-01-18,Long,292.0,133.96383,130.67919,-959.1148799999988,-2.45%,48,0
DLTR,2022-01-03,2022-01-18,Long,340.0,140.66052,130.67919,-3393.652199999995,-7.10%,15,0
DLTR,2022-05-02,2022-05-12,Long,192.0,162.61245,155.91393,-1286.1158400000004,-4.12%,10,0
NFLX,2015-03-02,2015-03-17,Long,9127.0,6.791206208787,6.022108692171,-7019.5530341542335,-11.32%,15,0
NFLX,2015-06-01,2015-08-03,Long,1668.0,8.924049075942,11.419569,4162.527233328744,27.96%,63,0
NFLX,2015-06-01,2015-10-01,Long,2064.0,8.924049075942,10.315674,2872.313843255712,15.59%,122,0
NFLX,2015-07-01,2015-10-01,Long,2149.0,9.394232605758,10.315674,1980.1775562260555,9.81%,92,0
NFLX,2015-09-01,2015-10-01,Long,140.0,11.514503,10.315674,-167.83605999999997,-10.41%,30,0
NFLX,2018-03-01,2018-04-02,Long,81.0,29.167138,29.505465,27.404486999999968,1.16%,32,0
NFLX,2018-03-01,2018-04-03,Long,2849.0,29.167138,28.000971,-3322.409783000004,-4.00%,33,0
NFLX,2018-07-02,2018-07-19,Long,128.0,39.182143,37.475487,-218.4519680000003,-4.36%,17,0
NFLX,2019-03-01,2019-04-01,Long,918.0,35.84581,35.620344,-206.9777879999975,-0.63%,31,0
NFLX,2022-09-01,2022-10-03,Long,2544.0,22.378356,23.520456,2905.502399999998,5.10%,32,0
NFLX,2022-09-01,2022-10-12,Long,1338.0,22.378356,21.407571,-1298.910329999999,-4.34%,41,0
